@relation breakpoint

@attribute people_around numeric
@attribute is_talking {true, false}
@attribute activity {MOVING, STILL}
@attribute people_using_smartphone {true, false}
@attribute breakpoint {true, false}

@data
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
1, true, STILL, false, false
1, true, STILL, false, false
1, true, STILL, false, false
1, true, STILL, false, false
1, true, STILL, false, false
1, true, STILL, false, false
1, true, STILL, false, false
1, true, STILL, false, false
1, true, STILL, false, false
1, true, STILL, false, false
2, true, STILL, false, false
2, true, STILL, false, false
2, true, STILL, false, false
2, true, STILL, false, false
2, true, STILL, false, false
2, true, STILL, false, false
2, true, STILL, false, false
2, true, STILL, false, false
2, true, STILL, false, false
2, true, STILL, false, false
3, true, STILL, false, false
3, true, STILL, false, false
3, true, STILL, false, false
3, true, STILL, false, false
3, true, STILL, false, false
3, true, STILL, false, false
3, true, STILL, false, false
3, true, STILL, false, false
3, true, STILL, false, false
3, true, STILL, false, false
1, false, STILL, false, true
1, false, STILL, false, true
1, false, STILL, false, true
1, false, STILL, false, true
2, false, STILL, false, true
2, false, STILL, false, true
2, false, STILL, false, true
2, false, STILL, false, true
3, false, STILL, false, true
3, false, STILL, false, true
3, false, STILL, false, true
3, false, STILL, false, true
1, false, MOVING, false, true
1, false, MOVING, false, true
2, false, MOVING, false, true
2, false, MOVING, false, true
3, false, MOVING, false, true
3, false, MOVING, false, true
1, false, MOVING, false, true
1, false, MOVING, false, true
2, false, MOVING, false, true
2, false, MOVING, false, true
3, false, MOVING, false, true
3, false, MOVING, false, true
1, true, MOVING, false, true
1, true, MOVING, false, true
2, true, MOVING, false, true
2, true, MOVING, false, true
3, true, MOVING, false, true
3, true, MOVING, false, true
1, true, MOVING, false, true
1, true, MOVING, false, true
2, true, MOVING, false, true
2, true, MOVING, false, true
3, true, MOVING, false, true
3, true, MOVING, false, true
1, true, MOVING, false, true
1, true, MOVING, false, true
2, true, MOVING, false, true
2, true, MOVING, false, true
3, true, MOVING, false, true
3, true, MOVING, false, true
1, true, MOVING, false, true
1, true, MOVING, false, true
2, true, MOVING, false, true
2, true, MOVING, false, true
3, true, MOVING, false, true
3, true, MOVING, false, true
1, true, MOVING, false, true
1, true, MOVING, false, true
2, true, MOVING, false, true
2, true, MOVING, false, true
3, true, MOVING, false, true
3, true, MOVING, false, true
1, true, MOVING, false, true
1, true, MOVING, false, true
2, true, MOVING, false, true
2, true, MOVING, false, true
3, true, MOVING, false, true
3, true, MOVING, false, true
1, true, STILL, true, true
1, true, STILL, true, true
2, true, STILL, true, true
2, true, STILL, true, true
3, true, STILL, true, true
3, true, STILL, true, true
1, true, STILL, true, true
1, true, STILL, true, true
2, true, STILL, true, true
2, true, STILL, true, true
3, true, STILL, true, true
3, true, STILL, true, true
1, false, STILL, false, true
1, false, MOVING, false, true
1, false, STILL, false, true
1, false, MOVING, false, true
1, false, STILL, false, true
1, false, MOVING, false, true
1, false, STILL, false, true
1, false, MOVING, false, true
1, false, STILL, false, true
1, false, MOVING, false, true
1, false, STILL, false, true
2, false, STILL, false, true
2, false, MOVING, false, true
2, false, STILL, false, true
2, false, MOVING, false, true
2, false, STILL, false, true
2, false, MOVING, false, true
2, false, STILL, false, true
2, false, MOVING, false, true
2, false, STILL, false, true
2, false, MOVING, false, true
2, false, STILL, false, true
3, false, STILL, false, true
3, false, MOVING, false, true
3, false, STILL, false, true
3, false, MOVING, false, true
3, false, STILL, false, true
3, false, MOVING, false, true
3, false, STILL, false, true
3, false, MOVING, false, true
3, false, STILL, false, true
3, false, MOVING, false, true
3, false, STILL, false, true
